species	cancer_type	correlation
Acinonyx_jubatus	all	0.219131335126286
Acinonyx_jubatus	bladder	0.238545405731531
Acinonyx_jubatus	breast	0.181440034654599
Acinonyx_jubatus	central nervous system	0.19952726776068
Acinonyx_jubatus	colon	0.238439458640765
Acinonyx_jubatus	colorectal	0.238772551830433
Acinonyx_jubatus	endometrial	0.159888703930872
Acinonyx_jubatus	gastric	0.200572746271203
Acinonyx_jubatus	glioma	0.226960216949248
Acinonyx_jubatus	head and neck	0.225258861669046
Acinonyx_jubatus	hepatocellular	0.223212489601918
Acinonyx_jubatus	intestine	0.216435774852537
Acinonyx_jubatus	kidney	0.353272352321929
Acinonyx_jubatus	leukaemia	0.132988759681053
Acinonyx_jubatus	liver	0.309098846912944
Acinonyx_jubatus	lung	0.299989411521298
Acinonyx_jubatus	lymphoma	0.199992381132194
Acinonyx_jubatus	melanoma	0.268111993477022
Acinonyx_jubatus	mesothelioma	0.339335388554762
Acinonyx_jubatus	oesophagus	0.23649084197397
Acinonyx_jubatus	other tumour types	0.272384846811221
Acinonyx_jubatus	ovarian	0.227432462880939
Acinonyx_jubatus	paediatric	0.267859548976146
Acinonyx_jubatus	pancreas	0.130596765716288
Acinonyx_jubatus	prostate	0.179500654363262
Acinonyx_jubatus	rare other tumour types	0.122365333450592
Acinonyx_jubatus	renal	0.18157297249932
Acinonyx_jubatus	sarcoma	0.201452072197319
Acinonyx_jubatus	skin	0.143888217395608
Acinonyx_jubatus	small intestine	0.224756953489402
Acinonyx_jubatus	soft tissue sarcoma	0.0826797992653389
Acinonyx_jubatus	testicular	0.0473524044896007
Acinonyx_jubatus	thyroid	0.238932877155184
Acinonyx_jubatus	urothelial	0.249164506254779
Acinonyx_jubatus	uterine	0.189242079410287
Acomys_cahirinus	all	0.202692706673574
Acomys_cahirinus	bladder	0.241754107174318
Acomys_cahirinus	breast	0.173868900679829
Acomys_cahirinus	central nervous system	0.184293821822776
Acomys_cahirinus	colon	0.255628021487639
Acomys_cahirinus	colorectal	0.203061731457365
Acomys_cahirinus	endometrial	0.148763282898312
Acomys_cahirinus	gastric	0.194939443863062
Acomys_cahirinus	glioma	0.263143515001777
Acomys_cahirinus	head and neck	0.182557987772742
Acomys_cahirinus	hepatocellular	0.236291322199322
Acomys_cahirinus	intestine	0.151622498058573
Acomys_cahirinus	kidney	0.332888019790688
Acomys_cahirinus	leukaemia	0.13166452057861
Acomys_cahirinus	liver	0.250392619862911
Acomys_cahirinus	lung	0.253516989392366
Acomys_cahirinus	lymphoma	0.193291982911047
Acomys_cahirinus	melanoma	0.24526964840415
Acomys_cahirinus	mesothelioma	0.37512598354311
Acomys_cahirinus	oesophagus	0.150830364479015
Acomys_cahirinus	other tumour types	0.260033354268663
Acomys_cahirinus	ovarian	0.222175593758919
Acomys_cahirinus	paediatric	0.166956868473006
Acomys_cahirinus	pancreas	0.166699678472435
Acomys_cahirinus	prostate	0.144511743630366
